,centroid,count,x,y,center
0,0,70,14.443118662190813,50.1434924795053,9150.02063627171
43,1,191,14.548316845645646,50.06387576996997,5110.335376075987
93,2,17,14.356627423404255,49.95929512765957,14344.521942156196
134,3,535,14.397075269517543,50.06701975592105,6055.556366741919
183,4,136,14.4690576009901,50.00458805321782,6296.183113301358
228,5,368,14.475757182073814,50.11075288717048,5228.119355127624
278,6,42,14.63755861118644,50.07080737118644,11717.58398660747
322,7,289,14.367591976706827,50.064494511646586,8210.640711034635
371,8,160,14.48027592455516,50.04652287669039,1722.2799005567222
420,9,391,14.524444542740286,50.039639772597134,4158.199377452855
471,10,1272,14.436225911787073,50.0943703256654,4673.365390962417
522,11,297,14.313878210690422,50.075229300222716,12242.558419721929
571,12,277,14.408556183121597,50.00720547713249,7912.04549220046
613,13,165,14.380586533534743,50.13254010181269,10484.363040074722
656,14,49,14.594732039759036,50.02697263614458,9351.898147272077
697,15,243,14.520374663260341,50.14906683017032,9846.187597653949
747,16,505,14.494961340466926,50.08496526322957,2704.984321774078
798,17,772,14.44772386892489,50.04786047790869,2790.851293698605
847,18,156,14.311640294044665,50.03912451290323,12587.194384347948
895,19,138,14.536906041475827,50.10017678524173,5902.799802509918
946,20,684,14.389838541666666,50.103182264285714,7906.92987877324
995,21,228,14.557526600000001,50.03216638791774,6648.631864504656
1044,22,110,14.358604516612377,49.993507152442994,11588.217812311344
1087,23,89,14.548311905306122,50.13865615265306,9691.271982888411
1137,24,330,14.569045040608229,50.09911530661896,7728.056730594883
1187,25,307,14.61420210845987,50.11149152841649,11282.330130455914
1237,26,2223,14.460951656978418,50.07670403136691,2036.1965529873064
1286,27,214,14.338230554094828,50.096366207327584,10998.013970554115
1331,28,38,14.282969591167193,50.05778899463722,14451.921668537194
1374,29,29,14.578556890163934,50.13737786352459,10925.319000788886
1420,30,364,14.369489017935702,50.091920877157364,8673.078697250106
1470,31,2050,14.429782640759075,50.06620151848185,3648.285218201979
1515,33,87,14.3888698753886,49.969028822279796,12088.744907409087
1560,34,67,14.481401040816326,50.147082520991255,9150.124442708167
1611,35,148,14.414302526,50.0370311982,5501.289646220444
1660,36,177,14.36738184516129,50.02279981960298,9274.632017805308
1710,37,355,14.502707415851273,50.06300680939334,1748.6183809125323
1760,38,459,14.445233669367088,50.018516674936706,5359.891839820211
1806,39,74,14.428419630985916,49.98514792018779,9149.606217175746
1852,40,47,14.515594379861112,50.01229027777778,6055.019541056073
1900,41,424,14.49419601431624,50.027052942094016,3985.369298992463
1943,42,19,14.293432050340137,50.108346685034014,14540.076751562148
1992,43,342,14.452476543186181,50.12020812380038,6542.644009346711
2043,44,562,14.50298673652174,50.116712065,6127.113230056777
2092,45,215,14.41979260565371,50.12870023144876,8384.537428505853
2143,46,1149,14.41261379174312,50.08829454458716,5632.305158823878
2183,48,75,14.667631562634408,50.08545581075269,14117.686224670655
2232,49,677,14.337551547227926,50.05020943100616,10505.49813917783
2252,32,9,14.630391045631068,50.016798370873786,12200.959406325386
2295,47,12,14.589523321860465,50.065130301860464,8149.139807868018
